Слово;Часть речи;Класс;Категория источников;Количество вхождений;Источники
агрессивный;прилагательное;Злость;B;2;Датасеты, NRC EmoLex
агрессия;существительное;Злость;AB;2;NRC EmoLex, Русский семантический словарь
ад;существительное;Грусть;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
адский;прилагательное;Злость;AB;2;NRC EmoLex, Алфавит эмоций
антипатия;существительное;Злость;AB;3;NRC EmoLex, Русский семантический словарь, РуСентиЛекс
апатичный;прилагательное;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
балдеть;глагол;Радость;A;2;НКРЯ, Алфавит эмоций
беда;существительное;Грусть;AB;2;Датасеты, Алфавит эмоций
бедный;прилагательное;Грусть;AB;2;Датасеты, Алфавит эмоций
бедняга;существительное;Грусть;AB;2;Датасеты, Алфавит эмоций
бедняжка;существительное;Грусть;AB;2;Датасеты, Алфавит эмоций
бедолага;существительное;Грусть;AB;2;ENRuN, Алфавит эмоций
бедствие;существительное;Грусть;AB;2;NRC EmoLex, Алфавит эмоций
без ума;существительное с предлогом;Радость;AB;2;NRC EmoLex, РуСентиЛекс
безумный;прилагательное;Злость;AB;3;Датасеты, NRC EmoLex, Алфавит эмоций
безутешность;существительное;Грусть;A;2;Русский семантический словарь, Алфавит эмоций
безысходность;существительное;Грусть;AB;3;Датасеты, Русский семантический словарь, Алфавит эмоций
бесить;глагол;Злость;AB;3;Датасеты, НКРЯ, Алфавит эмоций
беситься;глагол;Злость;A;2;НКРЯ, Алфавит эмоций
беспокоить;глагол;Страх;AB;4;Датасеты, NRC EmoLex, НКРЯ, РуСентиЛекс
беспокоиться;глагол;Страх;AB;3;Датасеты, НКРЯ, РуСентиЛекс
беспокойный;прилагательное;Страх;AB;2;NRC EmoLex, РуСентиЛекс
беспокойство;существительное;Страх;AB;4;Датасеты, NRC EmoLex, Русский семантический словарь, РуСентиЛекс
бесшабашный;прилагательное;Радость;AB;2;NRC EmoLex, Алфавит эмоций
бешенство;существительное;Злость;AB;4;Датасеты, НКРЯ, Русский семантический словарь, Алфавит эмоций
бешеный;прилагательное;Злость;AB;2;NRC EmoLex, Алфавит эмоций
благоговение;существительное;Радость;AB;3;NRC EmoLex, Русский семантический словарь, РуСентиЛекс
